Taille du bloc (bytes),Temps my_malloc/my_free (secondes),Temps malloc/free (secondes)
64,0.115801,0.015960,-78384968
128,0.108978,0.014601,-78384968
256,0.112365,0.014098,-78384968
512,0.117239,0.016435,-78384968
1024,0.124764,0.014415,-78384968
2048,0.126359,0.033180,-78384968
4096,0.127354,0.032926,-78384968
8192,0.145458,0.041982,-78384968
16384,0.138112,0.038245,-78384968
32768,0.141651,0.034280,-78384968
65536,0.141702,0.037950,-78384968
131072,0.146661,0.033947,-78384968
262144,0.152867,0.038691,-78384968
524288,0.163964,0.039067,-78384968
1048576,0.157624,0.041791,-78384968
2097152,0.160621,0.040966,-78384968
4194304,0.161451,0.035493,-78384968
8388608,0.157638,0.036634,-78384968
16777216,0.161163,0.036297,-78384968
33554432,0.165789,11.108309,-78384968
67108864,0.169393,11.782939,-78384968
